CustomerID,Age,Gender,Education_Level,Annual_Income,Credit_Score,City_Category,Satisfaction_Level,Employment_Status,Experience_Years,Product_Preference,Subscription_Plan,Distance_from_Store,Number_of_Purchases,Target_Buy
CUST_0044,24,Male,Bachelor,103981.96361113407,789,Tier 2,Very Satisfied,Self-Employed,3,Groceries,Standard,1.7303739691379318,8,No
CUST_0045,38,Female,Bachelor,55895.740510016076,738,Tier 3,Very Dissatisfied,Self-Employed,16,Fashion,Basic,5.758378187248342,12,Yes
CUST_0046,26,Male,Bachelor,77157.66212262861,405,Tier 2,Very Satisfied,Unemployed,5,Beauty,Basic,7.918796121630809,10,Yes
CUST_0047,56,Female,Bachelor,82689.61040168637,480,Tier 3,Dissatisfied,Student,36,Groceries,Basic,0.5987520261051864,8,Yes
CUST_0048,35,Female,High School,43751.900020204725,483,Tier 1,Dissatisfied,Self-Employed,14,Electronics,Standard,3.8127159984390504,11,Yes
CUST_0049,21,Non-binary,Bachelor,95641.56636122963,525,Tier 1,Satisfied,Unemployed,0,Fashion,Basic,0.5338363065668027,12,No
CUST_0050,42,Female,High School,38696.30631833109,388,Tier 1,Neutral,Self-Employed,24,Beauty,Standard,10.301098132376135,9,Yes
CUST_0051,31,Non-binary,Bachelor,76179.71030065953,829,Tier 1,Satisfied,Student,12,Electronics,Basic,3.542692331825717,5,Yes
CUST_0052,67,Female,High School,66106.39559094132,670,Tier 3,Very Satisfied,Student,40,Fashion,Basic,8.250406105763629,6,Yes
CUST_0053,26,Female,Master,61111.5111999632,698,Tier 1,Very Dissatisfied,Employed,4,Home,Standard,2.2950069832650315,11,Yes
CUST_0054,43,Female,High School,110936.66562897287,405,Tier 2,Satisfied,Self-Employed,23,Electronics,Premium,0.6681039934846343,12,Yes
CUST_0055,19,Non-binary,PhD,53974.895293463975,570,Tier 1,Neutral,Self-Employed,0,Groceries,Basic,0.2119249538226374,8,No
CUST_0056,37,Non-binary,Bachelor,53653.08814542783,802,Tier 1,Satisfied,Unemployed,17,Beauty,Standard,1.6530148181627995,9,No
CUST_0057,45,Male,Master,86629.5761479559,824,Tier 1,Dissatisfied,Self-Employed,23,Fashion,Basic,1.400115390290302,10,No
CUST_0058,64,Non-binary,Bachelor,75236.07556173566,331,Tier 3,Very Satisfied,Employed,40,Electronics,Standard,4.108904065738928,10,No
CUST_0059,24,Non-binary,Master,85641.9784191711,692,Tier 1,Very Satisfied,Student,5,Home,Premium,0.10989303925304823,10,No
CUST_0060,61,Non-binary,Master,62337.387646822266,339,Tier 2,Very Satisfied,Student,40,Beauty,Premium,3.6757925801122,7,No
CUST_0061,25,Non-binary,Bachelor,66338.85234024326,517,Tier 1,Very Satisfied,Employed,7,Beauty,Standard,2.486025215738424,9,No
CUST_0062,64,Male,Bachelor,98018.71225989149,381,Tier 1,Very Satisfied,Self-Employed,40,Electronics,Basic,4.303360979456631,9,Yes
CUST_0063,52,Non-binary,Bachelor,43280.918408386075,500,Tier 1,Very Satisfied,Self-Employed,31,Home,Premium,6.060319380562481,13,Yes
CUST_0064,31,Female,Bachelor,57942.45911816679,746,Tier 2,Very Dissatisfied,Employed,12,Fashion,Standard,5.026865966029731,10,Yes
CUST_0065,34,Female,High School,75965.0814285089,727,Tier 1,Neutral,Unemployed,15,Electronics,Basic,20.881365280710774,12,Yes
CUST_0066,53,Non-binary,Bachelor,56082.783598243244,337,Tier 2,Very Satisfied,Student,34,Fashion,Basic,0.744039396144409,9,No
CUST_0067,67,Non-binary,Bachelor,48597.08241433929,510,Tier 2,Neutral,Employed,40,Beauty,Premium,2.8082881835884472,10,Yes
CUST_0068,57,Female,Bachelor,72369.69025573044,743,Tier 1,Very Satisfied,Employed,39,Fashion,Premium,2.7654545522416685,7,Yes
CUST_0069,21,Female,Master,86716.11332982988,626,Tier 2,Satisfied,Self-Employed,0,Home,Basic,2.6982967764576515,9,No
CUST_0070,19,Male,Bachelor,57183.31274388286,526,Tier 3,Very Satisfied,Student,0,Groceries,Standard,5.450221376393158,10,Yes
CUST_0071,23,Female,PhD,56628.20758378502,347,Tier 1,Dissatisfied,Self-Employed,3,Home,Premium,3.3650373694925078,10,Yes
CUST_0072,59,Female,High School,47046.23948633138,317,Tier 1,Very Dissatisfied,Employed,38,Fashion,Basic,3.643172977809914,9,Yes
CUST_0073,21,Non-binary,Bachelor,54080.46313188531,738,Tier 2,Satisfied,Unemployed,2,Electronics,Basic,2.8313040174304343,10,Yes
CUST_0074,46,Female,Bachelor,81672.12159660371,486,Tier 2,Satisfied,Student,28,Beauty,Standard,23.957174143826748,15,No
CUST_0075,35,Male,Bachelor,61621.257413873136,644,Tier 1,Dissatisfied,Employed,14,Groceries,Basic,13.125076329751774,6,No
CUST_0076,43,Female,Master,43900.18678139424,523,Tier 3,Very Satisfied,Employed,22,Electronics,Basic,1.838854162449013,7,No
CUST_0077,61,Non-binary,High School,65247.247606473255,787,Tier 2,Very Dissatisfied,Unemployed,40,Electronics,Standard,0.5916317429331388,10,Yes
CUST_0078,51,Non-binary,Master,81023.88021972081,528,Tier 2,Satisfied,Employed,31,Home,Premium,9.155560345394434,5,No
CUST_0079,27,Female,Bachelor,48762.286729051426,689,Tier 3,Very Dissatisfied,Employed,8,Fashion,Standard,29.337837071429714,12,No
CUST_0080,53,Non-binary,Bachelor,33427.89560808873,487,Tier 3,Satisfied,Student,33,Home,Standard,1.7308578757382465,12,No
CUST_0081,31,Male,Bachelor,103816.50319745504,569,Tier 1,Very Satisfied,Student,10,Fashion,Basic,2.2141601245865834,7,No
CUST_0082,48,Male,Bachelor,32429.412999135056,609,Tier 3,Satisfied,Student,29,Home,Basic,14.2050386336883,12,Yes
CUST_0083,65,Female,Bachelor,52819.54872288428,431,Tier 1,Satisfied,Self-Employed,40,Electronics,Standard,6.20888425251643,12,Yes
CUST_0084,32,Female,Bachelor,64642.57023717339,371,Tier 3,Neutral,Unemployed,11,Beauty,Basic,1.7523166073614487,10,No
CUST_0085,25,Female,High School,54551.44597511418,486,Tier 2,Very Satisfied,Student,5,Fashion,Premium,4.349976614672183,12,Yes
CUST_0086,31,Non-binary,Bachelor,58501.783106899624,785,Tier 1,Dissatisfied,Self-Employed,11,Groceries,Basic,14.432558231395609,8,No
CUST_0087,40,Male,High School,71536.76335749187,490,Tier 1,Dissatisfied,Self-Employed,20,Groceries,Basic,8.351598489818686,14,Yes
CUST_0088,57,Male,Bachelor,20000.0,721,Tier 1,Very Satisfied,Unemployed,39,Electronics,Basic,6.770737538890501,10,Yes
CUST_0089,38,Non-binary,Bachelor,34662.11056952298,419,Tier 3,Dissatisfied,Unemployed,17,Home,Premium,6.6779361152554,11,No
CUST_0090,33,Male,Bachelor,60885.18772140658,519,Tier 2,Very Satisfied,Employed,14,Home,Basic,0.9801980482401127,9,Yes
CUST_0091,62,Female,Bachelor,51915.6597605278,352,Tier 1,Dissatisfied,Self-Employed,40,Electronics,Basic,8.705747359169854,11,Yes
CUST_0092,35,Female,High School,62588.225165511954,750,Tier 1,Neutral,Student,15,Groceries,Basic,1.615638784942712,5,Yes
CUST_0093,64,Female,Bachelor,64553.06565262609,711,Tier 1,Dissatisfied,Unemployed,40,Groceries,Premium,13.322558866060705,9,No
CUST_0094,41,Male,Bachelor,20000.0,536,Tier 1,Satisfied,Self-Employed,22,Home,Basic,2.2678174872784567,9,No
CUST_0095,43,Female,Bachelor,85472.80664303293,705,Tier 2,Very Satisfied,Student,22,Fashion,Basic,9.74769753254151,10,Yes
CUST_0096,42,Non-binary,Master,50034.642337993006,721,Tier 3,Very Dissatisfied,Self-Employed,20,Beauty,Basic,1.5478220669909193,12,No
CUST_0097,62,Non-binary,High School,42689.73630447987,546,Tier 2,Very Dissatisfied,Unemployed,40,Fashion,Standard,3.613157374683425,6,Yes
CUST_0098,58,Male,Bachelor,64167.10591918558,371,Tier 1,Very Satisfied,Employed,37,Groceries,Basic,0.565201289269741,16,Yes
CUST_0099,46,Non-binary,Bachelor,62143.204555644865,484,Tier 2,Neutral,Self-Employed,24,Fashion,Basic,5.395797186155019,15,Yes
CUST_0100,32,Non-binary,Bachelor,83933.81635309276,305,Tier 1,Dissatisfied,Student,12,Beauty,Basic,9.041861765949292,7,No
CUST_0101,62,Male,High School,65437.46325540034,505,Tier 3,Neutral,Unemployed,40,Fashion,Standard,6.337177855738788,8,Yes
CUST_0102,18,Female,High School,83162.21696048601,843,Tier 3,Very Dissatisfied,Employed,0,Fashion,Standard,3.7039044542559463,10,Yes
CUST_0103,42,Female,Master,41236.45249144589,686,Tier 3,Very Satisfied,Student,20,Fashion,Standard,0.23082642356628189,16,Yes
CUST_0104,24,Female,Bachelor,62837.22110414998,375,Tier 1,Very Satisfied,Student,4,Fashion,Premium,13.548333071786924,3,Yes
CUST_0105,26,Male,Bachelor,37705.04585350222,476,Tier 2,Neutral,Student,6,Electronics,Premium,6.112203939114345,13,No
CUST_0106,41,Non-binary,Bachelor,61953.51711120559,648,Tier 3,Neutral,Self-Employed,22,Groceries,Basic,6.849433300651503,10,Yes
CUST_0107,18,Female,Bachelor,57714.24088796229,554,Tier 1,Dissatisfied,Unemployed,0,Beauty,Standard,7.915941721441742,11,Yes
CUST_0108,61,Female,High School,56854.05149598194,607,Tier 1,Satisfied,Student,40,Groceries,Standard,6.88654279177034,11,Yes
CUST_0109,25,Male,Bachelor,57029.44895276734,644,Tier 2,Satisfied,Self-Employed,7,Electronics,Premium,2.9090681719783102,10,No
CUST_0110,41,Female,Bachelor,74727.78940369195,426,Tier 3,Dissatisfied,Unemployed,23,Electronics,Basic,6.614191427224427,12,No
CUST_0111,28,Male,PhD,27852.806859948407,586,Tier 1,Satisfied,Unemployed,7,Electronics,Standard,4.904503448620723,17,Yes
CUST_0112,68,Non-binary,High School,42004.24274431655,786,Tier 2,Very Dissatisfied,Self-Employed,40,Electronics,Basic,9.62130268987978,4,No
CUST_0113,34,Male,Bachelor,59188.56346509649,682,Tier 3,Satisfied,Self-Employed,15,Fashion,Premium,8.109066243456327,14,Yes
CUST_0114,25,Male,Bachelor,36426.738210575,705,Tier 2,Dissatisfied,Student,7,Groceries,Basic,0.2112733435569406,8,No
CUST_0115,52,Male,Bachelor,60922.28212402088,687,Tier 2,Satisfied,Unemployed,34,Home,Basic,2.3812119723280647,13,Yes
CUST_0116,52,Male,Bachelor,58982.94957517851,824,Tier 1,Very Satisfied,Employed,31,Beauty,Basic,0.17666539040025292,6,Yes
CUST_0117,50,Non-binary,Bachelor,31924.867098948336,575,Tier 1,Neutral,Self-Employed,28,Electronics,Basic,0.5383432465620002,12,Yes
CUST_0118,22,Non-binary,Master,30936.69707491445,799,Tier 1,Very Dissatisfied,Unemployed,0,Groceries,Standard,4.599118853606531,8,Yes
CUST_0119,59,Female,Master,20000.0,636,Tier 2,Very Satisfied,Unemployed,38,Electronics,Basic,10.35030126596833,9,No
CUST_0120,56,Non-binary,Bachelor,35586.59900636174,780,Tier 1,Very Satisfied,Student,38,Electronics,Basic,0.6381712675240627,15,Yes
CUST_0121,58,Non-binary,Master,60286.465164212,572,Tier 2,Dissatisfied,Employed,39,Electronics,Premium,2.9990974362548513,9,Yes
CUST_0122,45,Female,Bachelor,63123.75645881755,357,Tier 2,Neutral,Student,27,Electronics,Basic,12.088796069512512,9,Yes
CUST_0123,24,Non-binary,Bachelor,64037.99119256902,627,Tier 1,Neutral,Employed,2,Electronics,Standard,8.418140538690704,9,Yes
CUST_0124,26,Male,High School,44441.62374665238,408,Tier 3,Very Dissatisfied,Employed,8,Beauty,Basic,3.66638765978906,7,No
CUST_0125,25,Male,PhD,59633.93031957021,578,Tier 3,Dissatisfied,Self-Employed,6,Groceries,Basic,7.3826588114828295,8,No
CUST_0126,29,Female,High School,67944.89218482906,627,Tier 3,Very Dissatisfied,Unemployed,9,Electronics,Premium,3.697985054708362,8,No
CUST_0127,51,Female,High School,34639.28900997694,614,Tier 2,Satisfied,Unemployed,33,Electronics,Standard,0.8604246749239182,8,No
CUST_0128,50,Female,High School,62466.5814878108,773,Tier 2,Very Satisfied,Unemployed,29,Electronics,Basic,0.6661492660129724,2,Yes
CUST_0129,65,Male,Bachelor,73129.62423670183,410,Tier 2,Very Dissatisfied,Employed,40,Electronics,Premium,1.0435426472223066,13,Yes
CUST_0130,40,Non-binary,High School,50184.557403542385,528,Tier 1,Very Satisfied,Unemployed,19,Fashion,Premium,2.161012654542084,9,No
CUST_0131,41,Male,High School,81244.68660699207,796,Tier 2,Dissatisfied,Self-Employed,20,Fashion,Premium,13.334248663590465,19,Yes
CUST_0132,54,Female,High School,50651.3131235006,455,Tier 1,Satisfied,Employed,33,Home,Basic,8.039156360201321,14,Yes
CUST_0133,52,Non-binary,High School,42798.7828975385,772,Tier 1,Dissatisfied,Employed,34,Electronics,Basic,2.8352302814133585,10,No
CUST_0134,61,Non-binary,Bachelor,71136.82357105841,571,Tier 3,Satisfied,Employed,39,Home,Standard,3.396977940971602,8,Yes
CUST_0135,57,Male,Bachelor,100665.87538932913,301,Tier 3,Satisfied,Employed,37,Beauty,Standard,1.5435715892242823,10,Yes
CUST_0136,39,Female,Bachelor,61707.07237775618,810,Tier 3,Very Satisfied,Self-Employed,20,Home,Basic,6.092944783355155,11,Yes
CUST_0137,44,Male,Bachelor,72698.15608227439,585,Tier 1,Dissatisfied,Unemployed,22,Groceries,Standard,8.116813860783122,13,Yes
CUST_0138,52,Non-binary,Bachelor,49825.65557804312,312,Tier 1,Dissatisfied,Self-Employed,34,Fashion,Basic,1.3649834665406826,12,No
CUST_0139,18,Male,High School,35167.67560407944,797,Tier 1,Very Dissatisfied,Unemployed,0,Fashion,Basic,0.21360660939309692,9,Yes
CUST_0140,52,Male,Bachelor,63325.31291801467,537,Tier 2,Dissatisfied,Self-Employed,33,Electronics,Basic,4.88935407637655,9,No
CUST_0141,54,Female,PhD,66487.99943575822,393,Tier 1,Very Dissatisfied,Student,34,Electronics,Standard,4.133531372244341,8,Yes
CUST_0142,64,Female,Bachelor,52841.778192376754,637,Tier 3,Neutral,Student,40,Beauty,Basic,2.571919359385145,10,Yes
CUST_0143,31,Non-binary,High School,72621.13036043012,470,Tier 3,Neutral,Student,9,Beauty,Premium,5.162633380654943,6,Yes
CUST_0144,20,Male,Bachelor,46918.3998037136,766,Tier 1,Neutral,Student,1,Groceries,Standard,3.9993575510042816,11,No
CUST_0145,18,Male,Bachelor,41958.27468296516,442,Tier 1,Dissatisfied,Employed,0,Electronics,Standard,1.4422890435814686,11,Yes
CUST_0146,22,Male,Bachelor,81212.8586097233,500,Tier 3,Dissatisfied,Employed,2,Electronics,Premium,2.535238641895652,8,Yes
CUST_0147,43,Non-binary,High School,81306.95253083261,479,Tier 1,Very Dissatisfied,Self-Employed,24,Beauty,Standard,2.794074279124338,13,No
CUST_0148,31,Non-binary,High School,47313.13788328643,663,Tier 3,Satisfied,Self-Employed,10,Beauty,Premium,10.611661476184471,8,No
CUST_0149,56,Female,High School,94377.00980809644,778,Tier 2,Very Dissatisfied,Student,36,Beauty,Basic,16.208695306712414,7,Yes
CUST_0150,44,Female,PhD,54257.86614939501,770,Tier 3,Neutral,Unemployed,22,Fashion,Basic,11.174695886394176,13,Yes
CUST_0151,26,Female,Master,61695.65729287917,683,Tier 2,Very Dissatisfied,Student,7,Home,Basic,6.3501717398481805,8,No
CUST_0152,32,Male,High School,58306.949163031444,716,Tier 1,Satisfied,Self-Employed,10,Home,Basic,4.397296247605822,9,No
CUST_0153,32,Male,High School,70475.2043489136,607,Tier 1,Dissatisfied,Student,10,Electronics,Premium,5.844019962325767,11,Yes
CUST_0154,43,Female,Master,65428.42987601885,666,Tier 2,Very Dissatisfied,Self-Employed,21,Fashion,Basic,13.99336761745661,11,No
CUST_0155,59,Male,High School,65159.243231633154,300,Tier 1,Neutral,Student,40,Beauty,Standard,1.4384019304248927,13,Yes
CUST_0156,30,Female,High School,39608.76736560228,343,Tier 2,Neutral,Unemployed,8,Electronics,Standard,3.8298853163423323,14,No
CUST_0157,68,Non-binary,PhD,26228.753664206313,397,Tier 1,Dissatisfied,Student,40,Fashion,Standard,5.849596627076591,17,Yes
CUST_0158,49,Female,High School,82843.20056505724,564,Tier 3,Very Dissatisfied,Unemployed,28,Groceries,Basic,5.6854196329002615,8,Yes
CUST_0159,56,Non-binary,Bachelor,49091.080021205125,439,Tier 1,Satisfied,Unemployed,36,Fashion,Standard,1.4536265558902413,10,Yes
CUST_0160,66,Male,PhD,59019.33253133044,780,Tier 3,Dissatisfied,Self-Employed,40,Electronics,Basic,4.418289212344036,6,Yes
CUST_0161,69,Female,Bachelor,66535.97819779562,536,Tier 3,Very Dissatisfied,Unemployed,40,Home,Basic,7.946048016515384,10,No
CUST_0162,49,Male,High School,92580.19206698536,371,Tier 2,Very Satisfied,Employed,30,Beauty,Standard,3.2225373294920683,10,Yes
CUST_0163,21,Non-binary,High School,63227.15849285016,489,Tier 1,Neutral,Employed,3,Groceries,Standard,7.882387537710168,7,No
CUST_0164,47,Non-binary,Master,52104.048741518054,567,Tier 2,Satisfied,Employed,27,Fashion,Basic,2.230518392215779,8,Yes
CUST_0165,54,Non-binary,Master,49529.112374262855,620,Tier 1,Satisfied,Self-Employed,32,Electronics,Premium,13.96478392338415,14,No
CUST_0166,40,Male,Master,59252.86317516123,406,Tier 3,Satisfied,Employed,21,Electronics,Basic,3.8170804774253595,8,No
CUST_0167,56,Male,High School,41812.70460718774,531,Tier 3,Neutral,Self-Employed,38,Beauty,Basic,4.531057873238569,12,No
CUST_0168,62,Male,Master,60577.5144629802,341,Tier 1,Very Dissatisfied,Self-Employed,40,Electronics,Basic,0.15931936372592603,9,Yes
CUST_0169,32,Male,PhD,58959.606230839716,438,Tier 1,Dissatisfied,Employed,12,Electronics,Standard,0.9332694618818496,11,No
CUST_0170,60,Non-binary,Bachelor,92830.53897288302,572,Tier 2,Very Dissatisfied,Unemployed,38,Beauty,Standard,5.011066424752949,6,Yes
CUST_0171,46,Non-binary,PhD,58327.97722818158,780,Tier 1,Dissatisfied,Student,26,Groceries,Basic,2.7225185174313555,7,Yes
CUST_0172,53,Female,Master,21510.236779023006,715,Tier 1,Satisfied,Self-Employed,34,Home,Basic,3.548047626755626,17,Yes
CUST_0173,30,Female,Bachelor,113470.21940792957,805,Tier 1,Very Dissatisfied,Employed,10,Home,Standard,0.3252074179229668,8,Yes
CUST_0174,49,Male,Bachelor,79136.67462312194,723,Tier 2,Satisfied,Self-Employed,28,Fashion,Basic,8.98291255942195,8,No
CUST_0175,24,Non-binary,Bachelor,101646.9748819117,706,Tier 1,Very Satisfied,Unemployed,5,Groceries,Basic,7.6741018325522115,8,No
CUST_0176,68,Non-binary,High School,36853.60026031031,689,Tier 3,Satisfied,Unemployed,40,Fashion,Standard,1.0250079306361342,11,Yes
CUST_0177,39,Non-binary,Bachelor,55563.46437487416,641,Tier 2,Satisfied,Employed,21,Home,Basic,5.030111169678129,9,Yes
CUST_0178,45,Female,Bachelor,73488.02482988639,792,Tier 2,Dissatisfied,Self-Employed,23,Beauty,Premium,8.527410128000657,10,Yes
CUST_0179,19,Female,Master,70727.82744568918,491,Tier 3,Very Satisfied,Student,0,Electronics,Basic,5.120133338822297,16,No
CUST_0180,59,Non-binary,PhD,66138.75414719104,798,Tier 3,Satisfied,Student,38,Home,Standard,1.8582039879723988,5,Yes
CUST_0181,62,Non-binary,Master,20000.0,532,Tier 3,Satisfied,Self-Employed,40,Groceries,Basic,5.337183928378791,9,Yes
CUST_0182,23,Non-binary,High School,25751.210848713723,526,Tier 1,Very Satisfied,Self-Employed,5,Home,Premium,1.1815349757030686,7,No
CUST_0183,45,Female,High School,90350.40218127743,670,Tier 3,Very Satisfied,Self-Employed,27,Groceries,Basic,1.9154979367973124,15,No
CUST_0184,45,Non-binary,High School,93906.5906573938,438,Tier 1,Very Dissatisfied,Employed,27,Groceries,Standard,1.3726424936350279,12,No
CUST_0185,61,Non-binary,Bachelor,57866.974171272086,448,Tier 2,Dissatisfied,Unemployed,40,Groceries,Standard,4.070082270654856,7,No
CUST_0186,61,Male,Master,87808.54948812764,414,Tier 2,Very Satisfied,Student,40,Fashion,Basic,0.5727163349510698,5,No
CUST_0187,37,Male,PhD,39535.444677134044,749,Tier 3,Very Satisfied,Employed,18,Beauty,Basic,13.53852982791568,13,Yes
CUST_0188,47,Female,Bachelor,44111.478930626385,362,Tier 1,Neutral,Self-Employed,26,Home,Standard,2.0286683733161675,6,No
CUST_0189,28,Non-binary,PhD,37954.39356273701,403,Tier 3,Very Satisfied,Self-Employed,8,Beauty,Premium,1.2357094016475887,13,Yes
CUST_0190,45,Non-binary,Master,43001.60908622708,572,Tier 3,Dissatisfied,Unemployed,27,Electronics,Basic,3.4313525318945586,12,No
CUST_0191,42,Male,Bachelor,74453.92019045238,305,Tier 1,Satisfied,Self-Employed,24,Home,Basic,1.6217151973810893,10,Yes
CUST_0192,56,Female,Master,42752.952538731115,446,Tier 3,Satisfied,Employed,34,Beauty,Premium,3.827558144104397,10,No
CUST_0193,50,Male,Bachelor,104794.86079855729,483,Tier 2,Satisfied,Employed,28,Beauty,Basic,2.1424596334701973,13,Yes
CUST_0194,18,Male,High School,69201.41212694877,327,Tier 3,Satisfied,Unemployed,0,Electronics,Premium,0.7082026910813788,4,Yes
CUST_0195,44,Male,Bachelor,81690.54092990176,849,Tier 1,Neutral,Employed,26,Groceries,Standard,1.5455176925886949,11,Yes
CUST_0196,69,Male,Bachelor,69798.81165600146,418,Tier 1,Very Satisfied,Student,40,Home,Standard,2.8851818889655014,6,Yes
